id,year,week,positive_rate,indicator,t2,volume,vw
201439,2014,39,0.062307012,0,0,0.40694145343076454,0.0
201440,2014,40,0.046504683,0,0,0.45698443822955565,0.0
201441,2014,41,0.03495255,0,0,0.44251155703430556,0.0
201442,2014,42,0.027705842,0,0,0.4425977430449539,0.0
201443,2014,43,0.031702519,0,0,0.43311840392901646,0.0
201444,2014,44,0.02199465,0,0,0.36731027970198155,0.0
201445,2014,45,0.02417399,1,0,0.3580728312200078,0.45437580681482753
201446,2014,46,0.031516196,1,0,0.36135903152141874,0.4542467151784036
201447,2014,47,0.040719342,1,0,0.3624438361869462,0.4541176235419797
201448,2014,48,0.034193378999999996,1,0,0.36108145541742787,0.44153313705356817
201449,2014,49,0.045124894000000006,1,0,0.3608032583877218,0.41963937733527196
201450,2014,50,0.062318095,1,0,0.3600745924920427,0.3977456176169756
201451,2014,51,0.077836752,1,0,0.35813654361508607,0.37585185789867925
201452,2014,52,0.113365669,1,0,0.35648914017344513,0.35829263095096764
201501,2015,1,0.17304668199999998,1,0,0.33590845314066964,0.3299072080639859
201502,2015,2,0.169362962,1,0,0.3158277240968079,0.3293012085674355
201503,2015,3,0.21393857100000002,1,0,0.308033687149287,0.3286952090708851
201504,2015,4,0.223756652,1,0,0.3260371959459401,0.32785185609076417
201505,2015,5,0.19871089600000003,1,0,0.35029666455407404,0.3191758381528161
201506,2015,6,0.185313454,1,0,0.4299797987841949,0.3069395179613101
201507,2015,7,0.180620266,1,0,0.46396497172490697,0.29470319776980397
201508,2015,8,0.16334152400000002,1,0,0.4587640693210007,0.28315241818952536
201509,2015,9,0.164561649,1,0,0.43297371169568805,0.2979702910832791
201510,2015,10,0.132236486,1,0,0.3877991349109662,0.33131206021319554
201511,2015,11,0.150864707,1,0,0.33602906544227856,0.3649035501633469
201512,2015,12,0.14236632400000002,1,0,0.3234898311505467,0.3984950401134984
201513,2015,13,0.122508613,1,0,0.3282091754305887,0.4230609439257717
201514,2015,14,0.105571581,1,0,0.36584453527088945,0.4277705582347131
201515,2015,15,0.08873582099999999,1,0,0.36845524096244875,0.43187846680112935
201516,2015,16,0.08425989199999999,0,0,0.3669420614674144,0.0
201517,2015,17,0.06975822799999999,0,0,0.37878733898013633,0.0
201518,2015,18,0.066736371,0,0,0.3845628190600127,0.0
201519,2015,19,0.06502727700000001,0,0,0.36970789451678276,0.0
201520,2015,20,0.052031376,0,0,0.37075827413018597,0.0
201521,2015,21,0.056212261,0,0,0.37025469988651394,0.0
201522,2015,22,0.07473877,0,0,0.32965085326498067,0.0
201523,2015,23,0.109703157,0,0,0.33501640955543577,0.0
