id,year,week,startdate,enddate,positive_rate,maskindex
201428,2014,28,2014/7/6,2014/7/12,0.0500491,0
201429,2014,29,2014/7/13,2014/7/19,0.0379548,0
201430,2014,30,2014/7/20,2014/7/26,0.0374161,0
201431,2014,31,2014/7/27,2014/8/2,0.0364069,0
201432,2014,32,2014/8/3,2014/8/9,0.0295997,0
201433,2014,33,2014/8/10,2014/8/16,0.0342508,0
201434,2014,34,2014/8/17,2014/8/23,0.032944,0
201435,2014,35,2014/8/24,2014/8/30,0.0342311,0
201436,2014,36,2014/8/31,2014/9/6,0.0276792,0
201437,2014,37,2014/9/7,2014/9/13,0.0246056,0
201438,2014,38,2014/9/14,2014/9/20,0.0301003,0
201439,2014,39,2014/9/21,2014/9/27,0.034547,0
201440,2014,40,2014/9/28,2014/10/4,0.0322985,0
201441,2014,41,2014/10/5,2014/10/11,0.0397789,0
201442,2014,42,2014/10/12,2014/10/18,0.0497911,0
201443,2014,43,2014/10/19,2014/10/25,0.0477822,0
201444,2014,44,2014/10/26,2014/11/1,0.0630474,0
201445,2014,45,2014/11/2,2014/11/8,0.0894875,0
201446,2014,46,2014/11/9,2014/11/15,0.102853,0
201447,2014,47,2014/11/16,2014/11/22,0.148645,0
201448,2014,48,2014/11/23,2014/11/29,0.19585,0
201449,2014,49,2014/11/30,2014/12/6,0.231056,0
201450,2014,50,2014/12/7,2014/12/13,0.280293,0
201451,2014,51,2014/12/14,2014/12/20,0.309048,0
201452,2014,52,2014/12/21,2014/12/27,0.324521,0
201453,2014,53,2014/12/28,2015/1/3,0.273742,0
201501,2015,1,2015/1/4,2015/1/10,0.240106,0
201502,2015,2,2015/1/11,2015/1/17,0.242935,0
201503,2015,3,2015/1/18,2015/1/24,0.233462,0
201504,2015,4,2015/1/25,2015/1/31,0.215011,0
201505,2015,5,2015/2/1,2015/2/7,0.190054,0
201506,2015,6,2015/2/8,2015/2/14,0.155479,0
201507,2015,7,2015/2/15,2015/2/21,0.138723,0
201508,2015,8,2015/2/22,2015/2/28,0.127344,0
201509,2015,9,2015/3/1,2015/3/7,0.131685,0
201510,2015,10,2015/3/8,2015/3/14,0.127337,0
201511,2015,11,2015/3/15,2015/3/21,0.119931,0
201512,2015,12,2015/3/22,2015/3/28,0.112485,0
201513,2015,13,2015/3/29,2015/4/4,0.110281,0
201514,2015,14,2015/4/5,2015/4/11,0.0999797,0
201515,2015,15,2015/4/12,2015/4/18,0.0841736,0
201516,2015,16,2015/4/19,2015/4/25,0.0651057,0
201517,2015,17,2015/4/26,2015/5/2,0.0566388,0
201518,2015,18,2015/5/3,2015/5/9,0.0538635,0
201519,2015,19,2015/5/10,2015/5/16,0.0417936,0
201520,2015,20,2015/5/17,2015/5/23,0.0366144,0
201521,2015,21,2015/5/24,2015/5/30,0.0291688,0
201522,2015,22,2015/5/31,2015/6/6,0.027742,0
201523,2015,23,2015/6/7,2015/6/13,0.0264684,0
201524,2015,24,2015/6/14,2015/6/20,0.024784,0
201525,2015,25,2015/6/21,2015/6/27,0.0217704,0
201526,2015,26,2015/6/28,2015/7/4,0.0245808,0
201527,2015,27,2015/7/5,2015/7/11,0.0188213,0
201528,2015,28,2015/7/12,2015/7/18,0.0170669,0
201529,2015,29,2015/7/19,2015/7/25,0.0151736,0
201530,2015,30,2015/7/26,2015/8/1,0.015256,0
201531,2015,31,2015/8/2,2015/8/8,0.0194154,0
201532,2015,32,2015/8/9,2015/8/15,0.0164969,0
201533,2015,33,2015/8/16,2015/8/22,0.0189555,0
201534,2015,34,2015/8/23,2015/8/29,0.0185839,0
201535,2015,35,2015/8/30,2015/9/5,0.022731,0
201536,2015,36,2015/9/6,2015/9/12,0.0218096,0
201537,2015,37,2015/9/13,2015/9/19,0.0257343,0
201538,2015,38,2015/9/20,2015/9/26,0.0188594,0
201539,2015,39,2015/9/27,2015/10/3,0.0204536,0
201540,2015,40,2015/10/4,2015/10/10,0.0105578,0
201541,2015,41,2015/10/11,2015/10/17,0.0129662,0
201542,2015,42,2015/10/18,2015/10/24,0.0110855,0
201543,2015,43,2015/10/25,2015/10/31,0.0110807,0
201544,2015,44,2015/11/1,2015/11/7,0.0112344,0
201545,2015,45,2015/11/8,2015/11/14,0.0138224,0
201546,2015,46,2015/11/15,2015/11/21,0.0119344,0
201547,2015,47,2015/11/22,2015/11/28,0.0138506,0
201548,2015,48,2015/11/29,2015/12/5,0.0139498,0
201549,2015,49,2015/12/6,2015/12/12,0.0147544,0
201550,2015,50,2015/12/13,2015/12/19,0.0251181,0
201551,2015,51,2015/12/20,2015/12/26,0.02287,0
201552,2015,52,2015/12/27,2016/1/2,0.0245958,0
201601,2016,1,2016/1/3,2016/1/9,0.0293137,0
201602,2016,2,2016/1/10,2016/1/16,0.0425384,0
201603,2016,3,2016/1/17,2016/1/23,0.0548463,0
201604,2016,4,2016/1/24,2016/1/30,0.0695974,0
201605,2016,5,2016/1/31,2016/2/6,0.0969858,0
201606,2016,6,2016/2/7,2016/2/13,0.125491,0
201607,2016,7,2016/2/14,2016/2/20,0.155359,0
201608,2016,8,2016/2/21,2016/2/27,0.183621,0
201609,2016,9,2016/2/28,2016/3/5,0.211098,0
201610,2016,10,2016/3/6,2016/3/12,0.236454,0
201611,2016,11,2016/3/13,2016/3/19,0.19972,0
201612,2016,12,2016/3/20,2016/3/26,0.184709,0
201613,2016,13,2016/3/27,2016/4/2,0.162265,0
201614,2016,14,2016/4/3,2016/4/9,0.140164,0
201615,2016,15,2016/4/10,2016/4/16,0.132362,0
201616,2016,16,2016/4/17,2016/4/23,0.123464,0
201617,2016,17,2016/4/24,2016/4/30,0.102615,0
201618,2016,18,2016/5/1,2016/5/7,0.0812094,0
201619,2016,19,2016/5/8,2016/5/14,0.0668559,0
201620,2016,20,2016/5/15,2016/5/21,0.0581108,0
201621,2016,21,2016/5/22,2016/5/28,0.0471918,0
201622,2016,22,2016/5/29,2016/6/4,0.030595,0
201623,2016,23,2016/6/5,2016/6/11,0.0302006,0
201624,2016,24,2016/6/12,2016/6/18,0.0182927,0
201625,2016,25,2016/6/19,2016/6/25,0.0171228,0
201626,2016,26,2016/6/26,2016/7/2,0.0122261,0
201627,2016,27,2016/7/3,2016/7/9,0.00903312,0
201628,2016,28,2016/7/10,2016/7/16,0.00869153,0
201629,2016,29,2016/7/17,2016/7/23,0.00849185,0
201630,2016,30,2016/7/24,2016/7/30,0.00781793,0
201631,2016,31,2016/7/31,2016/8/6,0.00933921,0
201632,2016,32,2016/8/7,2016/8/13,0.00900745,0
201633,2016,33,2016/8/14,2016/8/20,0.00803482,0
201634,2016,34,2016/8/21,2016/8/27,0.0140485,0
201635,2016,35,2016/8/28,2016/9/3,0.0167771,0
201636,2016,36,2016/9/4,2016/9/10,0.0146146,0
201637,2016,37,2016/9/11,2016/9/17,0.0151255,0
201638,2016,38,2016/9/18,2016/9/24,0.0174135,0
201639,2016,39,2016/9/25,2016/10/1,0.0178369,0
201640,2016,40,2016/10/2,2016/10/8,0.0156951,0
