,delta,end,intercept,maxL,mu,r2,region,start,tau
19,0.8,202128.0,0.06102333139338967,16.0,0.01,0.7941618917897642,cslog,202004.0,-0.2260924259186802
20,0.9,202128.0,0.15326117384509352,14.0,0.01,0.8112236270251145,cslog,202004.0,-0.2604331357652143
21,1.0,202128.0,0.7684153386066028,6.0,0.01,0.8615441510528561,cslog,202004.0,-0.6710380092350693
22,0.0,202128.0,0.1004853080487571,17.0,0.05,0.8374593958950609,cslog,202004.0,-0.23977327525775485
23,0.1,202128.0,0.2025939611565457,14.0,0.05,0.8454296250912002,cslog,202004.0,-0.29704618458972776
24,0.2,202128.0,0.3116918485106841,11.0,0.05,0.8722879790455106,cslog,202004.0,-0.3852591443288244
25,0.3,202128.0,0.6511666324200265,8.0,0.05,0.8902986723676701,cslog,202004.0,-0.5714060827113278
26,0.4,202128.0,1.3097131285064387,5.0,0.05,0.7849877564616563,cslog,202004.0,-1.0478688074811635
27,0.5,202128.0,0.00957111993750015,21.0,0.05,0.7743795236896445,cslog,202004.0,-0.1844945370207593
28,0.6,202128.0,-0.043320942203024515,21.0,0.05,0.7694404124351872,cslog,202004.0,-0.17968803532863745
29,0.7,202128.0,0.03706836393397328,20.0,0.05,0.7662481143169855,cslog,202004.0,-0.19053304931851658
30,0.8,202128.0,0.04099159043203526,19.0,0.05,0.768991685942886,cslog,202004.0,-0.1971061525397036
31,0.9,202128.0,-0.008111806715359826,17.0,0.05,0.7815515935193087,cslog,202004.0,-0.20998209513984517
32,1.0,202128.0,0.7684153386066028,6.0,0.05,0.8615441510528561,cslog,202004.0,-0.6710380092350693
33,0.0,202128.0,-0.1443456317018854,20.0,0.1,0.8094158943186643,cslog,202004.0,-0.1990952554930915
34,0.1,202128.0,0.05054381164819466,18.0,0.1,0.836648735468855,cslog,202004.0,-0.23250956537493925
35,0.2,202128.0,0.24577009239258585,13.0,0.1,0.8635758714403441,cslog,202004.0,-0.33472840096636414
36,0.3,202128.0,0.583849998392338,9.0,0.1,0.9064847996115097,cslog,202004.0,-0.5182281474673522
37,0.4,202128.0,1.2626381854263844,5.0,0.1,0.8254450587148767,cslog,202004.0,-1.068368923273659
38,0.5,202128.0,-0.026331568435340458,23.0,0.1,0.7683853905020858,cslog,202004.0,-0.17228335077327164
39,0.6,202128.0,-0.08642695227085495,23.0,0.1,0.7610631906240862,cslog,202004.0,-0.16687855575804808
40,0.7,202128.0,-0.06378224330274396,22.0,0.1,0.7593279510727967,cslog,202004.0,-0.17214225600767907
41,0.8,202128.0,-0.0038147879814487418,20.0,0.1,0.7641412961826952,cslog,202004.0,-0.186989696966661
42,0.9,202128.0,0.05712972591989196,17.0,0.1,0.7813038143219978,cslog,202004.0,-0.21485924381141935
43,1.0,202128.0,0.7684153386066028,6.0,0.1,0.8615441510528561,cslog,202004.0,-0.6710380092350693
44,0.0,202128.0,-0.5003804747391989,27.0,0.5,0.7147488865431371,cslog,202004.0,-0.14645402633634197
45,0.1,202128.0,-0.27853604926544806,24.0,0.5,0.7784696207826257,cslog,202004.0,-0.1743442582801453
46,0.2,202128.0,0.06126965123704764,15.0,0.5,0.861629221749873,cslog,202004.0,-0.3000652166679614
47,0.3,202128.0,0.39990354962320085,11.0,0.5,0.9418890038369007,cslog,202004.0,-0.43412487368787006
48,0.4,202128.0,0.9380651596534317,7.0,0.5,0.9219209634421994,cslog,202004.0,-0.7498126826297286
49,0.5,202128.0,-0.10971290672156853,26.0,0.5,0.761930908805833,cslog,202004.0,-0.15637932516936043
50,0.6,202128.0,-0.07617733988540998,25.0,0.5,0.7540840034226467,cslog,202004.0,-0.15988610594706837
51,0.7,202128.0,-0.13739577845338724,24.0,0.5,0.7485482977163853,cslog,202004.0,-0.15843261969672398
52,0.8,202128.0,0.011999613453674396,21.0,0.5,0.7549413613414895,cslog,202004.0,-0.1818314277843364
53,0.9,202128.0,-0.04592759521273404,18.0,0.5,0.7726637763165154,cslog,202004.0,-0.19838238358168356
54,1.0,202128.0,0.7684153386066028,6.0,0.5,0.8615441510528561,cslog,202004.0,-0.6710380092350693
