,delta,end,intercept,maxL,mu,r2,region,start,tau
17,0.6,202128.0,-0.10179670920546169,24.0,0.01,0.5390520032230086,cnlog,202004.0,-0.13853055784358126
18,0.7,202128.0,-0.032151894820137805,23.0,0.01,0.5408543822267501,cnlog,202004.0,-0.14683647872713332
19,0.8,202128.0,0.009548110117809205,22.0,0.01,0.541783647852085,cnlog,202004.0,-0.15419154236468335
20,0.9,202128.0,-0.03755582192330165,21.0,0.01,0.5480845490873065,cnlog,202004.0,-0.15687543407198143
21,1.0,202128.0,0.4119651745059585,9.0,0.01,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
22,0.0,202128.0,0.5284468456659415,8.0,0.05,0.7211793331957534,cnlog,202004.0,-0.5338300585504621
23,0.1,202128.0,0.7745309804728513,6.0,0.05,0.7863317710880251,cnlog,202004.0,-0.7530150871718552
24,0.2,202128.0,1.1714649244655981,5.0,0.05,0.8008159950311209,cnlog,202004.0,-0.9860123323139438
25,0.3,202128.0,1.6831587944427722,4.0,0.05,0.7469543402969696,cnlog,202004.0,-1.3635637654124069
26,0.4,202128.0,2.3646344563887145,3.0,0.05,0.6981809609091044,cnlog,202004.0,-2.0468872981210606
27,0.5,202128.0,3.2859669525508397,2.0,0.05,0.676027622652249,cnlog,202004.0,-3.526821555223928
28,0.6,202128.0,-0.12339598959363984,30.0,0.05,0.527653299116261,cnlog,202004.0,-0.1180248014463322
29,0.7,202128.0,-0.1516587555430542,29.0,0.05,0.5288581591844868,cnlog,202004.0,-0.11911437657500643
30,0.8,202128.0,-0.1154186759654996,27.0,0.05,0.5323443246968833,cnlog,202004.0,-0.12672663970060577
31,0.9,202128.0,-0.01896876531030367,23.0,0.05,0.5399296836295281,cnlog,202004.0,-0.14758269866641863
32,1.0,202128.0,0.4119651745059585,9.0,0.05,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
33,0.0,202128.0,0.31926016017504955,9.0,0.1,0.8293494358784576,cnlog,202004.0,-0.47133390170552336
34,0.1,202128.0,0.6207479559003075,8.0,0.1,0.888789168845052,cnlog,202004.0,-0.5692273349387073
35,0.2,202128.0,0.9458607190971118,6.0,0.1,0.8932455153229273,cnlog,202004.0,-0.8104734162462575
36,0.3,202128.0,1.3439089276257747,4.0,0.1,0.8291953471429255,cnlog,202004.0,-1.3073102969562191
37,0.4,202128.0,1.8964649715720916,3.0,0.1,0.7424873424443896,cnlog,202004.0,-1.9202611456808603
38,0.5,202128.0,-0.1354213178336634,34.0,0.1,0.5220331854038855,cnlog,202004.0,-0.1091746415873458
39,0.6,202128.0,3.6175257056567474,2.0,0.1,0.596548255060317,cnlog,202004.0,-3.7126435636455914
40,0.7,202128.0,-0.15457262434823438,31.0,0.1,0.525468376020439,cnlog,202004.0,-0.11418291677498124
41,0.8,202128.0,-0.11877555287476493,28.0,0.1,0.530261987158624,cnlog,202004.0,-0.12364495592940657
42,0.9,202128.0,-0.08967722867066552,24.0,0.1,0.5391873472259273,cnlog,202004.0,-0.1392095943755615
43,1.0,202128.0,0.4119651745059585,9.0,0.1,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
44,0.0,202128.0,0.08405516283688819,16.0,0.5,0.9081376347864226,cnlog,202004.0,-0.27746780313289615
45,0.1,202128.0,0.25591423668831537,13.0,0.5,0.9411798321385086,cnlog,202004.0,-0.3492566850903597
46,0.2,202128.0,0.5003031827107032,11.0,0.5,0.9127598653873118,cnlog,202004.0,-0.42905445623054395
47,0.3,202128.0,0.6771469196986399,8.0,0.5,0.8477061112063189,cnlog,202004.0,-0.5952110470728811
48,0.4,202128.0,1.0218873559049229,6.0,0.5,0.7629785466566337,cnlog,202004.0,-0.8341497876401355
49,0.5,202128.0,1.4553624715357514,4.0,0.5,0.6577982197259415,cnlog,202004.0,-1.329636826111096
50,0.6,202128.0,2.2374653078585953,3.0,0.5,0.5408877394117151,cnlog,202004.0,-2.006487145235606
51,0.7,202128.0,-0.16143648569541424,33.0,0.5,0.5224246889432925,cnlog,202004.0,-0.11007096753965749
52,0.8,202128.0,-0.09446540223670885,29.0,0.5,0.5274843298002685,cnlog,202004.0,-0.12241845551094217
53,0.9,202128.0,-0.036532916762944456,24.0,0.5,0.5378400934256254,cnlog,202004.0,-0.14240728760486066
54,1.0,202128.0,0.4119651745059585,9.0,0.5,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
