,delta,end,intercept,maxL,mu,r2,region,start,tau
34,0.1,202128.0,-1.1733565747950339,35.0,0.1,-0.09516571433856469,usa,202014.0,-0.1362898850914396
35,0.2,202128.0,-1.1597893352333952,33.0,0.1,-0.09923942265283725,usa,202014.0,-0.14024308555412326
36,0.3,202128.0,-1.1296008396065496,32.0,0.1,-0.10490035722972513,usa,202014.0,-0.1427324131094567
37,0.4,202128.0,-1.1086554106293172,30.0,0.1,-0.11294214741652375,usa,202014.0,-0.14809518400549718
38,0.5,202128.0,-1.0954829728386712,27.0,0.1,-0.1213333280801292,usa,202014.0,-0.15832510377371636
39,0.6,202128.0,-1.0790626462743502,20.0,0.1,-0.1108949778574233,usa,202014.0,-0.2002427651716369
40,0.7,202128.0,-0.9889155654109896,17.0,0.1,-0.09156232564414957,usa,202014.0,-0.23535977167140465
41,0.8,202128.0,-0.8961239586783403,15.0,0.1,-0.09629412565109075,usa,202014.0,-0.26708198011352213
42,0.9,202128.0,-0.8214595854072355,14.0,0.1,-0.11501679210089533,usa,202014.0,-0.284496161653769
43,1.0,202128.0,-0.7808601798708588,13.0,0.1,-0.1239479397170773,usa,202014.0,-0.29822694531531035
44,0.0,202128.0,-1.16299602313061,39.0,0.5,-0.10726207404173893,usa,202014.0,-0.13958436902926935
45,0.1,202128.0,-1.1590129021678777,37.0,0.5,-0.10564160677815293,usa,202014.0,-0.14062269332538122
46,0.2,202128.0,-1.1473153814580548,35.0,0.5,-0.10607512578259803,usa,202014.0,-0.1428395497868521
47,0.3,202128.0,-1.1293170358687312,33.0,0.5,-0.10933551781550799,usa,202014.0,-0.1458585293109846
48,0.4,202128.0,-1.1073890182396968,31.0,0.5,-0.1156792851954862,usa,202014.0,-0.14991128459108885
49,0.5,202128.0,-1.1056712654069298,27.0,0.5,-0.12164669595150635,usa,202014.0,-0.16208195594350175
50,0.6,202128.0,-1.0795669511665305,20.0,0.5,-0.10328593612837067,usa,202014.0,-0.20449276474415196
51,0.7,202128.0,-0.9831221784946309,17.0,0.5,-0.09018403203434788,usa,202014.0,-0.2390815487559249
52,0.8,202128.0,-0.8895264323960257,15.0,0.5,-0.09889955519692561,usa,202014.0,-0.2698537890060646
53,0.9,202128.0,-0.8185694501951928,14.0,0.5,-0.11702153585735853,usa,202014.0,-0.2855201321848363
54,1.0,202128.0,-0.7808601798708588,13.0,0.5,-0.1239479397170773,usa,202014.0,-0.29822694531531035
